SUPERMERCADO TRADICAO LTDA;;;;;;;;;;;;;;;
CEP 12248440 SAO JOSE DOS CAMPOS - SP;;;;;;;;;;;;;;;
CNPJ: 47.692.182/0001-72;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código Barras;Data Venda;Descrição;Curva;Pedido?;Estoque Atual;Cobertura;Descrição Grupo;Descrição Seção;Descrição SubGrupo;Desc. Fornecedor Pref;Mark-Down;Qtd.Embalagem Compra;Valor Venda;Custo c/Imp;Venda Média
7,89658E+12;26/12/2025;ARROZ FANTASTICO 5KG TIPO 1;A;Não;34;89;ARROZ;MERCEARIA BASICA;ARROZ TIPO 1;FANTASTICO ALIMENTOS LTDA;14,29%;1;24,99;19,92;0,3814
7,89658E+12;26/12/2025;ARROZ SABOROSO 2KG TIPO1;A;Não;3;2;ARROZ;MERCEARIA BASICA;ARROZ TIPO 1;FANTASTICO ALIMENTOS LTDA;25,93%;1;9,99;6,88;1,6667
7,89892E+12;15/12/2025;BATATA PALITO BEMBRASIL 1,5KG;A;Não;0;0;VEGETAIS CONGELADOS;CONGELADOS;BATATA CONGELADA;FONSECA E FILHO DISTRI DE CARNES E ALIMENTOS LTDA;31,54%;9;22,99;18,45;1,0194
7,89873E+12;07/12/2025;BATATA PALITO BEMBRASIL 700G;A;Não;-14;0;VEGETAIS CONGELADOS;CONGELADOS;BATATA CONGELADA;FONSECA E FILHO DISTRI DE CARNES E ALIMENTOS LTDA;33,57%;20;17,99;12,51;1,1167
7,891E+12;20/12/2025;BISC RECH PASSATEMPO 130G CHOCOLATE;A;Não;0;0;BISCOITOS;MATINAIS;RECHEADOS;NESTLE BRASIL LTDA;16,47%;70;2,49;2,12;11,3884
7,89102E+12;20/12/2025;CAFE MELITTA 500G VC TRAD;A;Não;0;0;CAFÉ;MERCEARIA BASICA;CAFÉ EM PÓ;FENIX DISTRIBUIDORA EIRELI;19,70%;10;35,99;28,9;1,009
7,89609E+12;21/11/2025;CAFE PILAO 250G ALM TRAD;A;Não;0;0;CAFÉ;MERCEARIA BASICA;CAFÉ EM PÓ;DESTRO BRASIL DISTRIBUICAO LTDA;22,23%;20;17,99;13,99;0,9231
7,89191E+12;14/12/2025;CAFE UNIAO 500G ALM EXT FORT;A;Não;-1;0;CAFÉ;MERCEARIA BASICA;CAFÉ EM PÓ;ATACADAO S.A. COTACAO;16,11%;10;27,99;23,48;1,5455
7,36533E+11;26/12/2025;CARVAO BRASA FORTE 2KG;A;Não;23;2;FESTA;BAZAR E UTILIDADES;CHURRASCO;ANISIO CALISTO;45,79%;1;11,99;7,9;13,3782
7,89199E+12;24/12/2025;CERV BRAHMA DUPLO M GF 300ML GAR RET;A;Sim;71;18;CERVEJA;BEBIDAS ALCOOLICAS;CERVEJA PURO MALTE;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;15,99%;24;3,19;2,68;3,85
